Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,Elancer Name
Renters,95125,Carter,Weiss,2/4/1989,m,3200 Rubino Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 215-2850,abigail@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,16717216,-1,$187.39,Vilai Yang,"8021 Laguna Blvd Ste 1
Elk Grove, CA 95758-7920
(916) 684-9958",Gita
Renters,94087,Conor,Robles,4/5/1990,m,1032 W Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 285-5966,clare.curtis@gmail.com,N,N,N,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,42502742,-1,$142.07,John Williams,"4476 Pearl Ave
San Jose, CA 95136-1846
(408) 227-2560",Gita
Renters,95008,Nolan,Page,4/5/1990,m,1630 W Campbell Ave,Campbell,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(844) 325-4744,jakob.king@inbox.com,N,N,N,N,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,Email invalid,-1,,,,Gita
Renters,95136,Sophia,Nelson,11/18/1989,m,4300 The Woods Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(925) 284-2586,milo.chambers@yahoo.com,N,N,N,N,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,2724720,-1,$185.48,Ernest Dillard,"5145 Golden Foothill Pkwy Ste 100
El Dorado Hills, CA 95762-9656
(916) 939-8553",Gita
Renters,94041,Holden,Herrera,11/18/1989,m,151 Calderon Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 647-6922,dillan.hood@263.com,N,N,N,Y,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,Email invalid,-1,,,,Gita
Renters,94087,Ryder,Moran,7/31/1988,f,1032 W Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(877) 713-4583,juliette@outlook.com,N,N,N,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,42928683,-1,$134.76,John Williams,"4476 Pearl Ave
San Jose, CA 95136-1846
(408) 227-2560",Gita
Renters,94087,Izabella,Robles,11/18/1989,m,902 W Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(760) 489-9272,milo.chambers@yahoo.com,N,N,N,Y,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,27647068,-1,$141.99,Dennis Bane,"1905 Hamilton Ave Fl 1
San Jose, CA 95125-5673
(408) 559-8118",Gita
Renters,95134,Daphne,Fitzgerald,6/6/1986,f,4343 Renaissance Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 841-2760,dillan.hood@263.com,N,N,N,Y,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,Email invalid,-1,,,,Gita
Renters,94041,Mila,Thompson,6/6/1986,m,151 Calderon Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(855) 254-9912,milo.chambers@yahoo.com,N,N,Y,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,19990154,-1,$143.55,Lili Li,"1202 Kifer Rd Ste 168
Sunnyvale, CA 94086-5304
(650) 409-8999",Gita
Renters,95136,Paige,Goodman,11/12/1990,m,5230 Terner Way,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 222-8623,abigail@foxmail.com,N,N,Y,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,79463245,-1,$178.02,Miguel Quintero,"4340 Almaden Expy Ste 210
San Jose, CA 95118-2048
(408) 380-2277",Gita
