Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,Elancer
Renters,94086,Isla,Brock,3/8/1990,m,555 E Washington Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 992-3500,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,87203208,151,$226.04,Jianhong Zhou,"39812 Mission
Blvd Ste 203
Fremont, CA
94539-3087
(510) 656-1009",vasia1101
Renters,95111,Gideon,Garrett,6/6/1986,f,2600 Corde Terra Cir,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 552-9443,owen.lloyd@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100 / 250,90961327,93,$245.70,Diem Pham,"1900 Camden Ave, San Jose, CA 95124-2942, (408) 9007200",vasia1101
Renters,94085,Sofie,Fitzgerald,11/12/1990,m,355 N Wolfe Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 922-0111,owen.lloyd@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,250,35169210,88,180.83,Jeffery Sundquist,"2695 Moorpark Ave # 106
San Jose, CA 95128-4710, (408) 449-4893",vasia1101
Renters,94086,Arabella,Austin,3/8/1990,f,180 Pasito Terrace,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 648-1910,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,500,90168622,69,166.36,Leny Bueno,"2695 Moorpark Ave Ste 100fSan Jose, CA 95128-4710, (408) 449-4871",vasia1101
Renters,94304,Sawyer,Walker,12/1/1988,m,700 Clark Way,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(831) 469-3620,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,750,70822774,59,155.52,John Kikes,"125 Railroad Ave Ste 200Danville, CA 94526-3835, (925) 820-6661 ",vasia1101
Renters,95134,Vivienne,Hardy,11/12/1990,f,70 Descanso Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 241-1445,owen.lloyd@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,1000,18057896,66,146.48,Jeff Senigaglia,"950 S Bascom Ave Ste 2113San Jose, CA 95128-3538",vasia1101
Renters,94085,Gavin,Ortiz,11/12/1990,f,330 N Mathilda Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 334-1880,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,1500,26321256,71,135.62,Mary Formico Barnard,"2190 Stokes St Ste 201San Jose, CA 95128-4512, (408) 286-1334",vasia1101
Renters,95126,Madeline,Wise,11/12/1990,m,1590 Southwest Expy,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 615-9200,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,2500,66094315,63,152.69,Randy Thomas,"1390 S Winchester Blvd Ste ASan Jose, CA 95128-4304, (408) 370-7060",vasia1101
Renters,95136,Seth,Padilla,11/12/1990,f,3601 Copperfield Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 474-0333,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,5000,67096253,59,130,Xochitl Nino,"4340 Almaden Expy Ste 210San Jose, CA 95118-2048, (408) 224-0724",vasia1101
Renters,94041,Victoria,Spencer,6/6/1986,m,1600 Villa St,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 998-2012,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,100,71080327,54,251.04,Jianhong Zhou,"39812 Mission
Blvd Ste 203
Fremont, CA
94539-3087
(510) 656-1009",vasia1101
Renters,95054,Phoebe,Ryan,4/5/1990,m,1500 Vista Club Cir,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 864-7368,owen.lloyd@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,100 / 250,57251696,57,242,Lily Zhao,"1340 S De Anza Blvd Ste 203 San Jose, CA 95129­4644 (408) 398­4616",vasia1101
Renters,95037,Asher,Morris,4/5/1990,m,16945 Del Monte Ave,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 244-0900,savanna.miles@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,250,,35,,,,Email address entered is invalid
Renters,94086,Genevieve,Fernandez,11/12/1990,f,1035 Aster Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 854-2651,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,500,61971090,59,191.36,Jyotisen Mody,"1613 S Main St Ste 108 Milpitas, CA 95035­6295 (408) 726­5197",vasia1101
Renters,94085,Adrian,Roth,6/6/1986,f,330 N Mathilda Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(866) 270-9902,milo@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,750,,35,,,,Email address entered is invalid
Renters,95125,Ethan,Boyd,7/31/1988,f,3200 Rubino Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(858) 530-2100,noah.ingram@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,1000,31885877,59,212.39,Vilai Yang,"8021 Laguna Blvd Ste 1 Elk Grove, CA 95758­7920 (916) 684­9958",vasia1101
Renters,95126,Aaron,Dennis,3/8/1990,m,754 The Alameda,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 883-9600,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,1500,84428185,57,198.52,Dipika Vora,"2603 Camino Ramon Ste 433 San Ramon, CA 94583­9129 (408) 941­0094",vasia1101
