Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,Elancer name
Renters,95131,Kaleb,Montgomery,2/4/1989,f,1600 Whitewood Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(415) 285-1231,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,300000,N,1500,16173429,,$243.74,Gregory Wong,"2684 Berryessa Rd
 San Jose, CA 95132-2900",aaa
Renters,95126,Sienna,Mack,4/5/1990,m,850 Meridian Way,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(415) 563-6333,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,300000,N,2500,15904891,376,$278.95,Louise Shih,"940 Saratoga Ave Ste 106
 San Jose, CA 95129-3409
 (408) 253-0688",aaa
Renters,95054,Everett,Cobb,2/4/1989,f,502 Mansion Park Dr,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(877) 268-2574,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,300000,N,5000,98318601,263,$190.50,Thomas Keasler,"121 W Washington Ave Ste 205
 Sunnyvale, CA 94086-1101",aaa
Renters,95123,Aden,Ward,2/4/1989,m,150 Palm Valley Blvd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(619) 270-5895,noah.ingram@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,500000,N,100,48754559,365,$525.98,Bin Lu,"6472 Camden Ave Ste 209
 San Jose, CA 95120-2827
 (408) 728-9789",aaa
Renters,95054,Lucy,Chavez,2/4/1989,f,4500 Carlyle Ct,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(408) 923-3200,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,500000,N,100 / 250,46698639,350,$406.10,Erich Stiegler,"1911 Tarob Ct
 Milpitas, CA 95035-6825
 (408) 813-5348",aaa
Renters,95037,Nathaniel,Thompson,11/18/1989,f,16945 Del Monte Ave,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(650) 265-2120,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,500000,N,250,47245599,380,$646.82,Robyn Akin Dequine,"6472 Camden Ave Ste 103
 San Jose, CA 95120-2827
 (408) 268-2546",aaa
Renters,95037,Adam,Vega,3/27/1987,f,15400 Vineyard Blvd,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(415) 642-1877,owen.lloyd@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,500000,N,500,67017643,384,$598.68,Preeti Sehgal,"584b Blossom Hill Rd
 San Jose, CA 95123-3212
 (408) 674-2935",aaa
Renters,94086,Josiah,Tyler,4/5/1990,f,355 E Evelyn Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(415) 749-0101,noah.ingram@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,500000,N,750,84467112,142,$356.78,Robert Chang,"257 Castro St Ste 105
 Mountain View, CA 94041-1286
 (650) 965-8559",aaa
Renters,95020,Ronan,Ortega,6/6/1986,m,7397 Monterey St,Gilroy,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(650) 321-1701,milo@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,500000,N,1000,,,,,,aaa
Renters,95123,Quinn,Franklin,11/18/1989,m,6184 Cottle Rd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(650) 342-2301,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,90000,Keep default,1000,500000,N,1500,25450866,132,$333.58,Yarlin Palomares,"835 Blossom Hill Rd Ste 101
 San Jose, CA 95123-2703
 (408) 229-2500",aaa
