Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,Agent phone number
Renters,95125,Aden,Jensen,11/12/1994,f,2118 Canoas Garden Ave,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 864-7368,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,1000,500000,N,1000,32652490,-1,$19.92,Kevin Hunt,"105 S Main St
Ste 6
Templeton, CA
934659601",(805) 434-3276 
Renters,95020,Holden,Kelley,7/31/1993,m,7397 Monterey St,Gilroy,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(707) 644-3322,leo@inbox.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,1000,500000,N,1500,33298174,-1,$27.24,Albert Pinheiro,"190 1st St
Gilroy, CA
950205129",(408) 842-4619
Renters,95050,Lea,Soto,4/5/1994,f,2200 Monroe St,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(707) 361-4060,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,1000,500000,N,2500,16894333,-1,$14.09,Leny Bueno,"2695 Moorpark
Ave Ste 100f
San Jose, CA
951284710",(408) 449-4871
Renters,95125,Benjamin,Washington,11/18/1993,f,2118 Canoas Garden Ave,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(831) 475-6342,savanna.miles@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,1000,500000,N,5000,,-1,,,,
Renters,94304,Isabel,Goodwin,6/6/1994,m,1600 Sand Hill Rd,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(650) 591-1143,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,100000,N,100,45123447,-1,$19.83,"Dan Miller
","770 Menlo Ave
Ste 221
Menlo Park, CA
940254763",(650) 322-3064 
Renters,95123,Rose,Mendoza,6/6/1994,f,6184 Cottle Rd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(888) 492-9765,milo@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,100000,N,100 / 250,,-1,,,,
Renters,94086,Sophie,Rhodes,2/4/1994,m,732 E Evelyn Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(858) 587-9997,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,100000,N,250,37164657,-1,$15.91,Orlando Nunes,"1246 Homestead
Rd
Santa Clara, CA
950505487",(408) 261-1553
Renters,95014,Griffin,Tate,3/8/1994,m,5608 Stevens Creek Blvd,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(415) 330-9252,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,100000,N,500,74564814,-1,$14.66,David Kelly,"510 Bercut Dr
Ste F
Sacramento, CA
958110111",(916) 447-9797 
Renters,95134,Nora,Mitchell,3/3/1993,f,150 Alicante Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(925) 284-2586,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,100000,N,750,80310712,-1,$13.72,David Souza,"101 Serra Way
Milpitas, CA
950355206",(408) 262-7080 
Renters,94086,Piper,Delgado,11/18/1993,f,732 E Evelyn Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,2 to 4,0,0,(408) 287-3444,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,24000,Keep default,2000,100000,N,1000,54920303,-1,$12.69,Jeannette Sacman,"1659 Scott Blvd
Ste 10
Santa Clara, CA
950504137",(408) 984-2790
