Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,Agent Phone Number
Renters,94086,Victoria,Cooper,3/8/1994,f,732 E Evelyn Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(925) 686-1761,aidan@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,100000,N,750,56620255,150,$19.34,Angie Arnesto,"996 Minnesota Ave Ste 206 San Jose, CA 95125-2424",(408) 275-6888
Renters,94086,Jace,Palmer,11/18/1993,f,180 Pasito Terrace,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(415) 552-9443,isaac.montoya@foxmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,100000,N,1000,6692273,150,$18.23,Terry Shangreaux,"1905 Hamilton Ave Ste 100 San Jose, CA 95125-5673",(408) 371-3412 
Renters,95051,Charlotte,Sandoval,6/6/1994,m,100 Buckingham Dr,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(415) 284-9080,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,100000,N,1500,8056593,150,$16.90,Teketel Mulugeta,"3550 Stevens Creek Blvd Ste 310 San Jose, CA 95117-1060",(408) 249-8123
Renters,95112,Grayson,Greene,11/12/1994,m,1700 N 1st St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(408) 225-8648,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,100000,N,2500,4694115,150,$16.88,Timothy Shannon,"3848 E Colorado Blvd Ste 22 Pasadena, CA 91107-3975",(800) 999-5729
Renters,94086,Zackery,Barrett,2/4/1994,f,655 S Fair Oaks Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(888) 271-6704,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,100000,N,5000,9861052,150,$12.46,Andrew Chavez,"3415 S Sepulveda Blvd Ste 1100 Los Angeles, CA 90034-7090",(310) 881-2770
Renters,95050,Reece,Sanders,5/6/1994,m,431 El Camino Real,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(415) 345-1970,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,300000,N,100,70608910,150,$30.08,Jason Medeiros,"39899 Balentine Dr Ste 230 Newark, CA 94560-5361",(925) 321-3082
Renters,95126,Arabella,Shaw,11/18/1993,m,850 Meridian Way,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(858) 587-9997,zachary.hayes@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,300000,N,100 / 250,5731611,150,$36.40,Louise Shih,"940 Saratoga Ave Ste 106 San Jose, CA 95129-3409",(408) 253-0688
Renters,95112,Tessa,Rodriguez,11/12/1994,f,524 S 9th St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(925) 452-7910,noah.ingram@icloud.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,300000,N,250,10945874,150,$27.53,Terry Haas,"1905 Hamilton Ave Fl 2 San Jose, CA 95125-5673",(408) 371-7302
Renters,95054,Scarlet,Stevenson,3/8/1994,f,1600 Nantucket Cir,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(415) 440-0550,bennett.yang@yahoo.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,300000,N,500,18427348,150,$22.75,Tony Stoll,"1000 S White Rd Ste 130 San Jose, CA 95127-3828",(650) 200-5721
Renters,94086,Lorelei,Pham,11/12/1994,m,1035 Aster Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(831) 240-0330,finn@163.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,300000,N,750,33011843,150,$21.42,Jyotisen Mody,"1613 S Main St Ste 108 Milpitas, CA 95035-6295",(408) 726-5197
