Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,Elancer Name
Renters,94110,Reece,Ford,03/03/1988,m,3469 18th St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 989-1111,ana.webster@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#67496885,2015-09-22 21:46:13,$32.50,Francisco Zepeda,"San Francisco, CA",haoran
Renters,94109,Natalie,Mckenzie,06/06/1986,f,952 Sutter St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 344-2510,eden.chen@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#29311409,2015-09-22 21:46:13,$36.66,Steven Tong,"San Francisco, CA",haoran
Renters,94704,Connor,Parsons,07/31/1988,f,2020 Kittredge St,Berkeley,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 334-2698,alexandra.guerrero@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#86275109,2015-09-22 21:46:13,$40.44,David Owens,"Lancaster, CA",haoran
Renters,94542,Rhys,Gray,02/04/1989,f,25200 Carlos Bee Blvd,Hayward,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 570-5040,eden.chen@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#60692387,2015-09-22 21:46:13,$27.70,Gerry Costa,"San Diego, CA",haoran
Renters,94114,Silas,Freeman,12/1/1988,f,3904 17th St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 885-0333,adrian.gilbert@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#41886433,2015-09-22 21:46:13,$32.50,Charles Attard,"South San Francisco, CA",haoran
Renters,94501,Joseph,Valdez,03/08/1990,m,564 Central Ave,Alameda,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 952-3727,ian.schwartz@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#03886723,2015-09-22 21:46:13,$27.70,Tina Jang,"Millbrae, CA",haoran
Renters,94107,Alexandra,Porter,03/03/1988,f,3 Bayside Village Pl,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 216-6886,ana.webster@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#47293489,2015-09-22 21:46:13,$32.50,Grace Wu,"South San Francisco, CA",haoran
Renters,94803,Michael,Ortiz,12/1/1988,f,3535 El Portal Dr,El Sobrante,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(877) 745-9314,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#51488079,2015-09-22 21:46:13,$34.53,Peter Montalvo,"Fremont, CA",haoran
Renters,94105,Rose,Jones,07/31/1988,m,680 Mission St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 887-8185,lilly.hayes@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#19546209,2015-09-22 21:46:13,$32.50,Michelle McWhorter,"Avila Beach, CA",haoran
Renters,94109,Caroline,Gregory,11/18/1989,m,1100 Gough St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 923-6900,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#84874060,2015-09-22 21:46:13,$36.66,Philippos Gratsinopoulos,"Burlingame, CA",haoran
