Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,Elancer Name
Renters,94086,Vivian,Baker,11/12/1990,m,718 Old San Francisco Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 586-9001,lilly.hayes@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#42968768,2015-09-22 21:46:50,$18.84,Qing Sun,"Artesia, CA",haoran
Renters,95050,Jonah,Leon,04/05/1990,f,1599 Warburton Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 885-3333,adrian.gilbert@outlook.com,N,N,N,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#07247152,2015-09-22 21:46:50,$18.27,Orlando Nunes,"Santa Clara, CA",haoran
Renters,95054,Ethan,Potter,04/05/1990,f,550 Moreland Way,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 245-6710,alexandra.guerrero@aol.com,N,N,N,N,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#29375180,2015-09-22 21:46:50,$19.22,Stephen Larson,"Sacramento, CA",haoran
Renters,94087,Adelaide,Poole,07/31/1988,m,745 S Bernardo Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 285-5966,savannah.silva@aol.com,N,N,N,N,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#93596084,2015-09-22 21:46:50,$18.65,Svetlana Serebnitskaya,"Walnut Creek, CA",haoran
Renters,94040,Nathaniel,Berry,12/1/1988,m,575 S Rengstorff Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 781-1993,ana.webster@gmail.com,N,N,N,Y,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#36863612,2015-09-22 21:46:50,$17.89,Alex Wong,"Montebello, CA",haoran
Renters,94086,Alexandra,Underwood,11/18/1989,f,180 Pasito Terrace,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 778-3237,savannah.silva@aol.com,N,N,N,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#20588654,2015-09-22 21:46:50,$17.33,Dana Zhang,"San Jose, CA",haoran
Renters,95126,Anabel,Schmidt,03/03/1988,f,1201 Parkmoor Ave,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 610-0954,william.palmer@gmail.com,N,N,N,Y,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#17280373,2015-09-22 21:46:50,$23.36,James Melin,"San Jose, CA",haoran
Renters,95054,Isabella,Zimmerman,12/1/1988,m,550 Moreland Way,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(510) 887-8185,ana.webster@gmail.com,N,N,N,Y,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#44266602,2015-09-22 21:46:50,$17.68,Stephen Larson,"Sacramento, CA",haoran
Renters,95123,Nicolas,Mann,11/12/1990,m,1045 Coleman Rd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(858) 279-7410,savannah.silva@aol.com,N,N,Y,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#31986707,2015-09-22 21:46:50,$23.62,Robyn Akin Dequine,"San Jose, CA",haoran
Renters,95112,Violet,Keller,07/31/1988,f,101 E San Fernando St 100,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 377-2331,eden.chen@outlook.com,N,N,Y,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#85330595,2015-09-22 21:46:50,$20.26,Michael O'Connor,"San Jose, CA",haoran
Renters,95051,Aden,Salazar,11/12/1990,m,100 Buckingham Dr,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(408) 733-9095,eden.chen@outlook.com,N,N,Y,N,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#77476060,2015-09-22 21:46:50,$18.84,Teketel Mulugeta,"San Jose, CA",haoran
Renters,95037,Zachary,Jenkins,05/06/1989,m,16945 Del Monte Ave,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 280-5383,alexandra.guerrero@aol.com,N,N,Y,N,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#04372162,2015-09-22 21:46:50,$36.52,Donald Copeland,"Morgan Hill, CA",haoran
Renters,95050,Leah,Perry,06/06/1986,f,1599 Warburton Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 440-7285,adrian.gilbert@outlook.com,N,N,Y,Y,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#81000332,2015-09-22 21:46:50,$17.89,Michael Reen,"San Jose, CA",haoran
Renters,94043,Grace,Lucas,03/08/1990,m,100 N Whisman Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 580-6272,ana.webster@gmail.com,N,N,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#05142213,2015-09-22 21:46:50,$17.33,Dennis Fulfer,"Citrus Heights, CA",haoran
Renters,95035,Adelaide,Deleon,02/04/1989,f,755 E Capitol Ave,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 474-5333,scarlett.richard@gmail.com,N,N,Y,Y,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#36800616,2015-09-22 21:46:50,$18.26,Rudy Buitrago,"San Jose, CA",haoran
