Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,roommate names,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy Price,Annual Policy Price,Agent Name,Agent Address,Agent Phone Number,Quote Number
Renters,94110,Reece,Ford,03/03/1988,m,3469 18th St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 989-1111,ana.webster@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Francisco Zepeda,"San Francisco, CA",(415) 587-6407,#67496885
Renters,94109,Natalie,Mckenzie,06/06/1986,f,952 Sutter St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(650) 344-2510,eden.chen@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Steven Tong,"San Francisco, CA",(415) 922-7122,#29311409
Renters,94704,Connor,Parsons,07/31/1988,f,2020 Kittredge St,Berkeley,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 334-2698,alexandra.guerrero@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$40.44,$485.31,David Owens,"Lancaster, CA",(661) 946-4224,#86275109
Renters,94542,Rhys,Gray,02/04/1989,f,25200 Carlos Bee Blvd,Hayward,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 570-5040,eden.chen@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$27.70,$332.41,Gerry Costa,"San Diego, CA",(619) 298-7800,#60692387
Renters,94114,Silas,Freeman,12/1/1988,f,3904 17th St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 885-0333,adrian.gilbert@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Charles Attard,"South San Francisco, CA",(650) 922-8650,#41886433
Renters,94501,Joseph,Valdez,03/08/1990,m,564 Central Ave,Alameda,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(650) 952-3727,ian.schwartz@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$27.70,$332.41,Tina Jang,"Millbrae, CA",(650) 995-3499,#03886723
Renters,94107,Alexandra,Porter,03/03/1988,f,3 Bayside Village Pl,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(650) 216-6886,ana.webster@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Grace Wu,"South San Francisco, CA",(650) 273-4462,#47293489
Renters,94803,Michael,Ortiz,12/1/1988,f,3535 El Portal Dr,El Sobrante,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(877) 745-9314,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$34.53,$414.40,Peter Montalvo,"Fremont, CA",(510) 796-2002,#51488079
Renters,94105,Rose,Jones,07/31/1988,m,680 Mission St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(510) 887-8185,lilly.hayes@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Michelle McWhorter,"Avila Beach, CA",(805) 595-2135,#19546209
Renters,94109,Caroline,Gregory,11/18/1989,m,1100 Gough St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 923-6900,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.66,$439.88,Philippos Gratsinopoulos,"Burlingame, CA",(650) 288-5994,#84874060
Renters,94002,Gavin,Santiago,06/06/1986,m,2515 Carlmont Dr,Belmont,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 377-2331,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$29.55,$354.56,Eric Li,"Burlingame, CA",(650) 552-9010,#11357303
Renters,94103,Jaxon,Steele,07/31/1988,f,1188 Mission St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 885-0333,alexandra.guerrero@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$32.50,$390.02,Lien Tu,"San Francisco, CA",(415) 635-0993,#12334806
Renters,94545,Griffin,Owen,03/03/1988,m,25800 Industrial Blvd.,Hayward,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 474-5494,ian.schwartz@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$27.70,$332.41,Elizabeth Banuelos,"Hayward, CA",(510) 581-8551,#29378913
