Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,roommate names,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy Price,Annual Policy Price,Agent Name,Agent Address,Agent Phone Number,Quote Number
Renters,94086,Vivian,Baker,11/12/1990,m,718 Old San Francisco Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 586-9001,lilly.hayes@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.84,$226.04,Qing Sun,"Artesia, CA",(562) 810-0500,#42968768
Renters,95050,Jonah,Leon,04/05/1990,f,1599 Warburton Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 885-3333,adrian.gilbert@outlook.com,N,N,N,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.27,$219.25,Orlando Nunes,"Santa Clara, CA",(408) 261-1553,#07247152
Renters,95054,Ethan,Potter,04/05/1990,f,550 Moreland Way,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 245-6710,alexandra.guerrero@aol.com,N,N,N,N,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$19.22,$230.65,Stephen Larson,"Sacramento, CA",(916) 428-4520,#29375180
Renters,94087,Adelaide,Poole,07/31/1988,m,745 S Bernardo Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 285-5966,savannah.silva@aol.com,N,N,N,N,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.65,$223.74,Svetlana Serebnitskaya,"Walnut Creek, CA",(925) 352-7447,#93596084
Renters,94040,Nathaniel,Berry,12/1/1988,m,575 S Rengstorff Ave,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(707) 781-1993,ana.webster@gmail.com,N,N,N,Y,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$17.89,$214.73,Alex Wong,"Montebello, CA",(323) 212-3012,#36863612
Renters,94086,Alexandra,Underwood,11/18/1989,f,180 Pasito Terrace,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 778-3237,savannah.silva@aol.com,N,N,N,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$17.33,$207.95,Dana Zhang,"San Jose, CA",(408) 377-9199,#20588654
Renters,95126,Anabel,Schmidt,03/03/1988,f,1201 Parkmoor Ave,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(619) 610-0954,william.palmer@gmail.com,N,N,N,Y,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$23.36,$280.34,James Melin,"San Jose, CA",(408) 985-0500,#17280373
Renters,95054,Isabella,Zimmerman,12/1/1988,m,550 Moreland Way,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(510) 887-8185,ana.webster@gmail.com,N,N,N,Y,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$17.68,$212.21,Stephen Larson,"Sacramento, CA",(916) 428-4520,#44266602
Renters,95123,Nicolas,Mann,11/12/1990,m,1045 Coleman Rd,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(858) 279-7410,savannah.silva@aol.com,N,N,Y,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$23.62,$283.41,Robyn Akin Dequine,"San Jose, CA",(408) 268-2546,#31986707
Renters,95112,Violet,Keller,07/31/1988,f,101 E San Fernando St 100,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 377-2331,eden.chen@outlook.com,N,N,Y,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$20.26,$243.15,Michael O'Connor,"San Jose, CA",(408) 251-5102,#85330595
Renters,95051,Aden,Salazar,11/12/1990,m,100 Buckingham Dr,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 733-9095,eden.chen@outlook.com,N,N,Y,N,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.84,$226.04,Teketel Mulugeta,"San Jose, CA",(408) 249-8123,#77476060
Renters,95037,Zachary,Jenkins,05/06/1989,m,16945 Del Monte Ave,Morgan Hill,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(619) 280-5383,alexandra.guerrero@aol.com,N,N,Y,N,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$36.52,$438.22,Donald Copeland,"Morgan Hill, CA",(408) 779-3900,#04372162
Renters,95050,Leah,Perry,06/06/1986,f,1599 Warburton Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(650) 440-7285,adrian.gilbert@outlook.com,N,N,Y,Y,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$17.89,$214.73,Michael Reen,"San Jose, CA",(408) 449-4839,#81000332
Renters,94043,Grace,Lucas,03/08/1990,m,100 N Whisman Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 580-6272,ana.webster@gmail.com,N,N,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$17.33,$207.95,Dennis Fulfer,"Citrus Heights, CA",(877) 315-3555,#05142213
Renters,95035,Adelaide,Deleon,02/04/1989,f,755 E Capitol Ave,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 474-5333,scarlett.richard@gmail.com,N,N,Y,Y,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.26,$219.12,Rudy Buitrago,"San Jose, CA",(408) 434-0640,#36800616
Renters,95136,Xavier,Stevens,06/06/1986,f,3601 Copperfield Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 723-2370,elias.cain@outlook.com,N,N,Y,Y,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$22.62,$271.49,John Williams,"San Jose, CA",(408) 227-2560,#48027719
Renters,94086,Kaleb,Rogers,12/1/1988,f,243 Buena Vista Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(408) 214-1685,savannah.silva@aol.com,N,Y,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$17.89,$214.73,Jason Schram,"Palo Alto, CA",(650) 522-0027,#57627067
Renters,94043,Miles,Austin,07/31/1988,m,100 N Whisman Rd,Mountain View,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(650) 758-4888,scarlett.richard@gmail.com,N,Y,N,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$17.89,$214.73,Dennis Fulfer,"Citrus Heights, CA",(877) 315-3555,#37009419
Renters,94085,Rider,Thomas,03/27/1987,m,355 N Wolfe Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(855) 646-0468,ian.schwartz@aol.com,N,Y,N,N,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.26,$219.12,Jeffery Sundquist,"San Jose, CA",(408) 449-4893,#30549052
Renters,94086,Piper,Mann,04/05/1990,f,355 E Evelyn Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(650) 425-3914,ana.webster@gmail.com,N,Y,N,N,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$18.26,$219.12,Suzanne Taylor,"San Jose, CA",(408) 252-2040,#37602237
Renters,95125,Juliet,Chambers,06/06/1986,m,3200 Rubino Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(650) 344-2510,alexandra.guerrero@aol.com,N,Y,N,Y,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$21.69,$260.27,Vilai Yang,"Elk Grove, CA",(916) 684-9958,#94129963
Renters,95051,Josephine,Avila,05/06/1989,f,100 Buckingham Dr,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(650) 381-9788,elias.cain@outlook.com,N,Y,N,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$16.95,$203.43,Teketel Mulugeta,"San Jose, CA",(408) 249-8123,#56617562
Renters,95014,Lillian,Kirby,07/31/1988,f,5608 Stevens Creek Blvd,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 642-1877,elias.cain@outlook.com,N,Y,N,Y,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$17.30,$207.58,David Kelly,"Sacramento, CA",(916) 447-9797,#07734926
Renters,95008,Ronan,Vargas,11/18/1989,m,2275 S Bascom Ave,Campbell,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(831) 449-1800,ian.schwartz@aol.com,N,Y,N,Y,N,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$22.13,$265.59,Thu Nguyen,"San Jose, CA",(408) 258-8388,#03399048
Renters,94086,Lea,Reese,06/06/1986,m,1035 Aster Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(707) 361-4060,elias.cain@outlook.com,N,Y,Y,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$17.89,$214.73,Jyotisen Mody,"Milpitas, CA",(408) 726-5197,#27732817
Renters,95126,Rose,Sullivan,07/31/1988,m,1201 Parkmoor Ave,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(650) 342-2301,elias.cain@outlook.com,N,Y,Y,N,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$22.89,$274.73,James Melin,"San Jose, CA",(408) 985-0500,#18535800
Renters,95136,Owen,Lindsey,11/12/1990,f,5230 Terner Way,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,,0,(415) 626-6900,william.palmer@gmail.com,N,Y,Y,N,N,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,$23.36,$280.34,Tracy Nguyen,"San Jose, CA",(408) 286-3656,#97469441
