Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,Elancer Name
Renters,94110,Genevieve,Oliver,12/1/1988,m,3469 18th St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(408) 295-1360,oliver.floyd@gmail.com,Y,Y,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,250,#69938320,2015-10-07 11:18:06,$17.26,Victoria Frolova,"Daly City, CA",haoran
Renters,94109,Lilah,Fuller,12/1/1988,f,952 Sutter St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(650) 440-7285,anabel.patton@gmail.com,Y,Y,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,250,#78012633,2015-10-07 11:18:06,$19.47,Donna Ouyang,"Daly City, CA",haoran
Renters,94117,Fiona,Higgins,11/18/1989,f,783 Buena Vista Ave W,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(650) 372-8336,norah.alvarado@gmail.com,Y,Y,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,250,#40340125,2015-10-07 11:18:06,$19.47,Patrick Cayabyab,"Daly City, CA",haoran
Renters,94704,Josiah,Roberts,07/31/1988,m,2020 Kittredge St,Berkeley,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(510) 886-1055,clara.kirby@gmail.com,Y,Y,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,250,#73926398,2015-10-07 11:18:06,$21.48,David Owens,"Lancaster, CA",haoran
Renters,94542,Ariana,Freeman,02/04/1989,m,25200 Carlos Bee Blvd,Hayward,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(831) 475-6342,jude.neal@gmail.com,Y,Y,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,250,#34749973,2015-10-07 11:18:06,$14.72,Gerry Costa,"San Diego, CA",haoran
Renters,94114,Scarlett,Sherman,07/31/1988,m,3904 17th St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(650) 583-9275,clara.kirby@gmail.com,Y,Y,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,250,#27151588,2015-10-07 11:18:06,$17.26,Norman Lin,"Daly City, CA",haoran
Renters,94501,Lilly,Aguilar,03/08/1990,f,564 Central Ave,Alameda,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(415) 923-6900,norah.alvarado@gmail.com,Y,Y,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,250,#35608895,2015-10-07 11:18:06,$14.72,Phuong Le,"San Leandro, CA",haoran
Renters,94107,Luna,Elliott,07/31/1988,m,3 Bayside Village Pl,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(408) 496-6300,oliver.floyd@gmail.com,Y,Y,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,250,#51179216,2015-10-07 11:18:06,$17.26,Charles Attard,"South San Francisco, CA",haoran
Renters,94803,Andrew,Chang,04/05/1990,f,3535 El Portal Dr,El Sobrante,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(510) 865-1139,oliver.floyd@gmail.com,Y,Y,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,250,#27681512,2015-10-07 11:18:06,$18.34,Brian Craney,"Stockton, CA",haoran
Renters,94105,Izabella,Herrera,07/31/1988,f,680 Mission St,San Francisco,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,0,(415) 885-0333,oliver.floyd@gmail.com,Y,Y,Y,Y,Y,Y,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,250,#34390123,2015-10-07 11:18:06,$17.26,Michelle McWhorter,"Avila Beach, CA",haoran
