Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy number,Timestamp (seconds),Policy price,Name of agent,Address of agent,Agent Phone Number
Renters,95050,Claire,Norris,03/27/1987,f,1599 Warburton Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(619) 463-1116,adrian.gilbert@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100,#48640093,2015-09-24 09:50:27,$18.84,Jeannette Sacman,"Santa Clara, CA",haoran
Renters,94304,Stella,Murray,06/06/1986,m,1600 Sand Hill Rd,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(707) 579-5605,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,100 / 250,#01948446,2015-09-24 09:50:27,$18.08,Rie Kawaguchi,"Sunnyvale, CA",haoran
Renters,95126,Elizabeth,Francis,05/06/1989,m,754 The Alameda,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 647-6922,adrian.gilbert@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,250,#13868704,2015-09-24 09:50:27,$19.28,Dipika Vora,"San Ramon, CA",haoran
Renters,95054,Landen,Frazier,05/06/1989,m,4500 Carlyle Ct,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 981-2605,adrian.gilbert@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,500,#41921615,2015-09-24 09:50:27,$13.86,Erich Stiegler,"Milpitas, CA",haoran
Renters,94089,Jude,Hartman,03/08/1990,f,1235 Wildwood Ave,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(415) 345-4400,scarlett.richard@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,1500,#96727469,2015-09-24 09:50:27,$11.30,Anthony Mangiameli,"San Jose, CA",haoran
Renters,94087,Quinn,Bishop,07/31/1988,f,575 E Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 952-3727,adrian.gilbert@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,2500,#55239700,2015-09-24 09:50:27,$10.83,Yi Ju,"Cupertino, CA",haoran
Renters,95126,Clare,Sanders,06/06/1986,m,1590 Southwest Expy,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(650) 425-3914,elias.cain@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,100000,N,5000,#12343011,2015-09-24 09:50:27,$10.83,Fred Chen,"San Jose, CA",haoran
Renters,95035,Clara,Cross,03/03/1988,f,755 E Capitol Ave,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(925) 284-1915,ana.webster@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,100,#10243932,2015-09-24 09:50:27,$20.92,Rudy Buitrago,"San Jose, CA",haoran
Renters,95014,Luke,Chan,03/03/1988,f,7375 Rollingdell Dr,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(858) 571-0104,alexandra.guerrero@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,100 / 250,#25445884,2015-09-24 09:50:27,$20.17,John Williams,"San Jose, CA",haoran
Renters,95054,Hudson,Phillips,06/06/1986,f,502 Mansion Park Dr,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,1,0,0,(866) 678-3468,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,4000,Keep default,1000,300000,N,250,#44601784,2015-09-24 09:50:27,$17.15,Jazmin Guizar,"Santa Clara, CA",haoran
