Insurance Type,Zip code,First name,Last name,Date of birth,Gender,Address,City,State,Auto insurance coverage?,Property Type,# units,# unrelated roommates,roommate names,# property losses in last 3 years,Phone number,Email address,Fire Sprinkler System?,Central Fire & Burglar Alarm?,Local Fire / Smoke Alarm?,Home Security?,Non Smoking Household?,Local Burglar Alarm?,Unusual hazards?,Dogs that bite?,Run a business from home?,Start date,Personal property worth,Loss of use,Medical payments,Personal liability,Farmers Identity Protection,Deductible,Policy Price,Annual Policy Price,Agent Name,Agent Address,Agent Phone Number,Quote Number
Renters,95138,August,Avila,03/27/1954,f,6100 Monterey Hwy,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,,0,(510) 865-1139,ana.webster@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,60000,Keep default,1000,100000,N,100 / 250,$29.11,$349.26,Lee Gomez,"San Jose, CA",(408) 223-0970,#67916803
Renters,95050,Madelynn,Cardenas,03/27/1954,f,1599 Warburton Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,,0,(408) 245-6710,elias.cain@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,60000,Keep default,1000,300000,N,500,$19.57,$234.86,Frank Molina,"Santa Clara, CA",(408) 242-7731,#50623327
Renters,94086,William,Henderson,02/04/1961,m,718 Old San Francisco Rd,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,,0,(619) 216-8884,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,60000,Keep default,1000,300000,N,2500,$15.04,$180.45,Qing Sun,"Artesia, CA",(562) 810-0500,#56339077
Renters,94304,Willow,Mcdonald,02/04/1961,m,700 Clark Way,Palo Alto,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,,0,(415) 981-2605,ian.schwartz@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,60000,Keep default,2000,100000,N,1000,$16.15,$193.78,John Kikes,"Danville, CA",(925) 820-6661,#26978173
Renters,94087,Norah,Schroeder,11/18/1970,f,1032 W Remington Dr,Sunnyvale,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,,0,(408) 263-6040,scarlett.richard@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,1000,100000,N,750,$19.09,$229.04,John Williams,"San Jose, CA",(408) 227-2560,#40979904
Renters,95112,Piper,Meyers,06/06/1967,m,760 N 7th St,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,,0,(415) 664-2822,elias.cain@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,70000,Keep default,2000,100000,N,100 / 250,$30.49,$365.87,Roger Tuma,"Milpitas, CA",(408) 573-3820,#94546975
Renters,95050,Ethan,Nicholson,02/04/1961,m,1599 Warburton Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,,0,(408) 737-2900,ana.webster@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,1000,500000,N,100 / 250,$30.80,$369.58,Orlando Nunes,"Santa Clara, CA",(408) 261-1553,#50377198
Renters,95126,Clare,Barnes,11/12/1942,f,850 Meridian Way,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,,0,(415) 330-9252,elias.cain@outlook.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,1000,500000,N,1000,$25.83,$309.95,Louise Shih,"San Jose, CA",(408) 253-0688,#12831068
Renters,95035,Charles,Garrett,11/12/1942,m,440 Dixon Landing Rd,Milpitas,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,,0,(415) 641-8003,william.palmer@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,1000,500000,N,1500,$19.77,$237.19,Thomas Truong,"Milpitas, CA",(408) 935-8888,#33649067
Renters,95014,Conor,Payne,05/06/1950,f,5608 Stevens Creek Blvd,Cupertino,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,,0,(858) 530-2100,alexandra.guerrero@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,1000,500000,N,2500,$17.84,$214.13,David Kelly,"Sacramento, CA",(916) 447-9797,#19485180
Renters,95134,Arya,George,05/06/1950,m,70 Descanso Dr,San Jose,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,,0,(650) 755-8133,savannah.silva@aol.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,2000,100000,N,100 / 250,$25.88,$310.50,Jazmin Guizar,"Santa Clara, CA",(408) 802-7257,#45369806
Renters,95051,Tessa,Garcia,04/05/1941,f,101 Saratoga Ave,Santa Clara,CA,N,RENTED HOUSE - SINGLE FAMILY,5+,0,,0,(619) 427-0190,william.palmer@gmail.com,N,N,N,N,Y,N,NONE,N,N,Keep default.,80000,Keep default,2000,300000,N,750,$20.70,$248.39,Sammy Lee,"San Jose, CA",(408) 247-8800,#21665145
